song,artist,date,rank
Heartbeat Song,Kelly Clarkson,2015-02-28,44
Only One,Kanye West Featuring Paul McCartney,2015-02-28,45
I See You,Luke Bryan,2015-02-28,46
Habits (Stay High),Tove Lo,2015-02-28,47
Sun Daze,Florida Georgia Line,2015-02-28,48
Energy,Drake,2015-02-28,49
Night Changes,One Direction,2015-02-28,50
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,2015-02-28,51
Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,2015-02-28,52
Blessings,Big Sean Featuring Drake,2015-02-28,53
I Bet My Life,Imagine Dragons,2015-02-28,54
I Lived,OneRepublic,2015-02-28,55
Chains,Nick Jonas,2015-02-28,56
Shut Up And Dance,WALK THE MOON,2015-02-28,57
Lay Me Down,Sam Smith,2015-02-28,58
Apparently,J. Cole,2015-02-28,59
Feeling Myself,Nicki Minaj Featuring Beyonce,2015-02-28,60
Often,The Weeknd,2015-02-28,61
Heroes (We Could Be),Alesso Featuring Tove Lo,2015-02-28,62
Mean To Me,Brett Eldredge,2015-02-28,63
Just Gettin' Started,Jason Aldean,2015-02-28,64
Drinking Class,Lee Brice,2015-02-28,65
Like A Cowboy,Randy Houser,2015-02-28,66
Ain't Worth The Whiskey,Cole Swindell,2015-02-28,67
Talladega,Eric Church,2015-02-28,68
Homegrown,Zac Brown Band,2015-02-28,69
Talking Body,Tove Lo,2015-02-28,70
Lonely Eyes,Chris Young,2015-02-28,71
Sledgehammer,Fifth Harmony,2015-02-28,72
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015-02-28,73
Geronimo,Sheppard,2015-02-28,74
Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj &amp; Young Thug,2015-02-28,75
Little Red Wagon,Miranda Lambert,2015-02-28,76
Homegrown Honey,Darius Rucker,2015-02-28,77
Try Me,DeJ Loaf,2015-02-28,78
Something In The Water,Carrie Underwood,2015-02-28,79
One Last Time,Ariana Grande,2015-02-28,80
Say You Do,Dierks Bentley,2015-02-28,81
Post To Be,Omarion Featuring Chris Brown &amp; Jhene Aiko,2015-02-28,82
Take It On Back,Chase Bryant,2015-02-28,83
Shotgun Rider,Tim McGraw,2015-02-28,84
Preach,Drake Featuring PARTYNEXTDOOR,2015-02-28,85
Legend,Drake,2015-02-28,86
A Guy Walks Into A Bar,Tyler Farr,2015-02-28,87
10 Bands,Drake,2015-02-28,88
The Body,Wale Featuring Jeremih,2015-02-28,89
Not For Long,B.o.B Featuring Trey Songz,2015-02-28,90
Used To,Drake Featuring Lil Wayne,2015-02-28,91
Budapest,George Ezra,2015-02-28,92
Uma Thurman,Fall Out Boy,2015-02-28,93
What We Ain't Got,Jake Owen,2015-02-28,94
Where You Belong,The Weeknd,2015-02-28,95
"Honey, I'm Good.",Andy Grammer,2015-02-28,96
I Put A Spell On You,Annie Lennox,2015-02-28,97
Shots,Imagine Dragons,2015-02-28,98
Keep Your Money,Empire Cast Featuring Jussie Smollett,2015-02-28,99
What Kind Of Man,Florence + The Machine,2015-02-28,100
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015-02-21,1
Thinking Out Loud,Ed Sheeran,2015-02-21,2
Take Me To Church,Hozier,2015-02-21,3
Sugar,Maroon 5,2015-02-21,4
Blank Space,Taylor Swift,2015-02-21,5
FourFiveSeconds,Rihanna &amp; Kanye West &amp; Paul McCartney,2015-02-21,6
Lips Are Movin,Meghan Trainor,2015-02-21,7
I'm Not The Only One,Sam Smith,2015-02-21,8
Love Me Like You Do,Ellie Goulding,2015-02-21,9
Shake It Off,Taylor Swift,2015-02-21,10
Time Of Our Lives,Pitbull &amp; Ne-Yo,2015-02-21,11
Jealous,Nick Jonas,2015-02-21,12
I Don't Mind,Usher Featuring Juicy J,2015-02-21,13
Stay With Me,Sam Smith,2015-02-21,14
Centuries,Fall Out Boy,2015-02-21,15
All About That Bass,Meghan Trainor,2015-02-21,16
Only,"Nicki Minaj Featuring Drake, Lil Wayne &amp; Chris Brown",2015-02-21,17
Style,Taylor Swift,2015-02-21,18
I Don't F**k With You,Big Sean Featuring E-40,2015-02-21,19
7/11,Beyonce,2015-02-21,20
Love Me Harder,Ariana Grande &amp; The Weeknd,2015-02-21,21
CoCo,O.T. Genasis,2015-02-21,22
She Knows,Ne-Yo Featuring Juicy J,2015-02-21,23
The Heart Wants What It Wants,Selena Gomez,2015-02-21,24
Ghost,Ella Henderson,2015-02-21,25
Truffle Butter,Nicki Minaj Featuring Drake &amp; Lil Wayne,2015-02-21,26
No Type,Rae Sremmurd,2015-02-21,27
Animals,Maroon 5,2015-02-21,28
Earned It (Fifty Shades Of Grey),The Weeknd,2015-02-21,29
Prayer In C,Lillywood &amp; Robin Schulz,2015-02-21,30
G.D.F.R.,Flo Rida Featuring Sage The Gemini &amp; Lookas,2015-02-21,31
Chandelier,Sia,2015-02-21,32
Riptide,Vance Joy,2015-02-21,33
Heartbeat Song,Kelly Clarkson,2015-02-21,34
Work It,"Missy ""Misdemeanor"" Elliott",2015-02-21,35
Ayo,Chris Brown &amp; Tyga,2015-02-21,36
Tuesday,I LOVE MAKONNEN Featuring Drake,2015-02-21,37
Bang Bang,"Jessie J, Ariana Grande &amp; Nicki Minaj",2015-02-21,38
Elastic Heart,Sia,2015-02-21,39
Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",2015-02-21,40
Habits (Stay High),Tove Lo,2015-02-21,41
Take Your Time,Sam Hunt,2015-02-21,42
Don't,Ed Sheeran,2015-02-21,43
I See You,Luke Bryan,2015-02-21,44
Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,2015-02-21,45
Waves,Mr. Probz,2015-02-21,46
Outside,Calvin Harris Featuring Ellie Goulding,2015-02-21,47
Sun Daze,Florida Georgia Line,2015-02-21,48
Make Me Wanna,Thomas Rhett,2015-02-21,49
Night Changes,One Direction,2015-02-21,50
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,2015-02-21,51
Sledgehammer,Fifth Harmony,2015-02-21,52
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015-02-21,53
Blessings,Big Sean Featuring Drake,2015-02-21,54
I Lived,OneRepublic,2015-02-21,55
Heroes (We Could Be),Alesso Featuring Tove Lo,2015-02-21,56
Talladega,Eric Church,2015-02-21,57
Apparently,J. Cole,2015-02-21,58
Somebody,Natalie La Rose Featuring Jeremih,2015-02-21,59
Trap Queen,Fetty Wap,2015-02-21,60
Feeling Myself,Nicki Minaj Featuring Beyonce,2015-02-21,61
Just Gettin' Started,Jason Aldean,2015-02-21,62
I Bet My Life,Imagine Dragons,2015-02-21,63
Drinking Class,Lee Brice,2015-02-21,64
Mean To Me,Brett Eldredge,2015-02-21,65
Shut Up And Dance,WALK THE MOON,2015-02-21,66
Often,The Weeknd,2015-02-21,67
Like A Cowboy,Randy Houser,2015-02-21,68
Only One,Kanye West Featuring Paul McCartney,2015-02-21,69
Ain't Worth The Whiskey,Cole Swindell,2015-02-21,70
Try Me,DeJ Loaf,2015-02-21,71
Homegrown,Zac Brown Band,2015-02-21,72
Lonely Eyes,Chris Young,2015-02-21,73
Something In The Water,Carrie Underwood,2015-02-21,74
Lay Me Down,Sam Smith,2015-02-21,75
Chains,Nick Jonas,2015-02-21,76
Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj &amp; Young Thug,2015-02-21,77
Geronimo,Sheppard,2015-02-21,78
Homegrown Honey,Darius Rucker,2015-02-21,79
Not For Long,B.o.B Featuring Trey Songz,2015-02-21,80
Say You Do,Dierks Bentley,2015-02-21,81
Shotgun Rider,Tim McGraw,2015-02-21,82
Talking Body,Tove Lo,2015-02-21,83
Post To Be,Omarion Featuring Chris Brown &amp; Jhene Aiko,2015-02-21,84
Body Language,Kid Ink Featuring Usher &amp; Tinashe,2015-02-21,85
Take It On Back,Chase Bryant,2015-02-21,86
The Body,Wale Featuring Jeremih,2015-02-21,87
Budapest,George Ezra,2015-02-21,88
What We Ain't Got,Jake Owen,2015-02-21,89
A Guy Walks Into A Bar,Tyler Farr,2015-02-21,90
Beg For It,Iggy Azalea Featuring M0,2015-02-21,91
L.A.LOVE (la la),Fergie,2015-02-21,92
Worth It,Fifth Harmony Featuring Kid Ink,2015-02-21,93
A Little Too Much,Shawn Mendes,2015-02-21,94
God Made Girls,RaeLynn,2015-02-21,95
Hotel,Kid Ink Featuring Chris Brown,2015-02-21,96
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2015-02-21,97
Out The Speakers,A-Trak + Milo &amp; Otis Featuring Rich Kidz,2015-02-21,98
I Mean It,G-Eazy Featuring Remo,2015-02-21,99
Girl Crush,Little Big Town,2015-02-21,100
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015-02-14,1
Thinking Out Loud,Ed Sheeran,2015-02-14,2
Take Me To Church,Hozier,2015-02-14,3
Blank Space,Taylor Swift,2015-02-14,4
Sugar,Maroon 5,2015-02-14,5
Lips Are Movin,Meghan Trainor,2015-02-14,6
I'm Not The Only One,Sam Smith,2015-02-14,7
Jealous,Nick Jonas,2015-02-14,8
Shake It Off,Taylor Swift,2015-02-14,9
Centuries,Fall Out Boy,2015-02-14,10
Time Of Our Lives,Pitbull &amp; Ne-Yo,2015-02-14,11
All About That Bass,Meghan Trainor,2015-02-14,12
I Don't Mind,Usher Featuring Juicy J,2015-02-14,13
Love Me Like You Do,Ellie Goulding,2015-02-14,14
FourFiveSeconds,Rihanna &amp; Kanye West &amp; Paul McCartney,2015-02-14,15
Love Me Harder,Ariana Grande &amp; The Weeknd,2015-02-14,16
Only,"Nicki Minaj Featuring Drake, Lil Wayne &amp; Chris Brown",2015-02-14,17
I Don't F**k With You,Big Sean Featuring E-40,2015-02-14,18
The Heart Wants What It Wants,Selena Gomez,2015-02-14,19
CoCo,O.T. Genasis,2015-02-14,20
Stay With Me,Sam Smith,2015-02-14,21
7/11,Beyonce,2015-02-14,22
Animals,Maroon 5,2015-02-14,23
No Type,Rae Sremmurd,2015-02-14,24
She Knows,Ne-Yo Featuring Juicy J,2015-02-14,25
Ghost,Ella Henderson,2015-02-14,26
Truffle Butter,Nicki Minaj Featuring Drake &amp; Lil Wayne,2015-02-14,27
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015-02-14,28
Style,Taylor Swift,2015-02-14,29
Tuesday,I LOVE MAKONNEN Featuring Drake,2015-02-14,30
G.D.F.R.,Flo Rida Featuring Sage The Gemini &amp; Lookas,2015-02-14,31
Riptide,Vance Joy,2015-02-14,32
Prayer In C,Lillywood &amp; Robin Schulz,2015-02-14,33
Habits (Stay High),Tove Lo,2015-02-14,34
Bang Bang,"Jessie J, Ariana Grande &amp; Nicki Minaj",2015-02-14,35
Elastic Heart,Sia,2015-02-14,36
Chandelier,Sia,2015-02-14,37
Earned It (Fifty Shades Of Grey),The Weeknd,2015-02-14,38
Waves,Mr. Probz,2015-02-14,39
Don't,Ed Sheeran,2015-02-14,40
I See You,Luke Bryan,2015-02-14,41
Heroes (We Could Be),Alesso Featuring Tove Lo,2015-02-14,42
Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,2015-02-14,43
Rude,MAGIC!,2015-02-14,44
I Lived,OneRepublic,2015-02-14,45
Talladega,Eric Church,2015-02-14,46
Sun Daze,Florida Georgia Line,2015-02-14,47
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,2015-02-14,48
Take Your Time,Sam Hunt,2015-02-14,49
Outside,Calvin Harris Featuring Ellie Goulding,2015-02-14,50
Night Changes,One Direction,2015-02-14,51
Make Me Wanna,Thomas Rhett,2015-02-14,52
Sledgehammer,Fifth Harmony,2015-02-14,53
I Bet My Life,Imagine Dragons,2015-02-14,54
Something In The Water,Carrie Underwood,2015-02-14,55
Heartbeat Song,Kelly Clarkson,2015-02-14,56
Ayo,Chris Brown &amp; Tyga,2015-02-14,57
Feeling Myself,Nicki Minaj Featuring Beyonce,2015-02-14,58
Just Gettin' Started,Jason Aldean,2015-02-14,59
Try Me,DeJ Loaf,2015-02-14,60
Drinking Class,Lee Brice,2015-02-14,61
Like A Cowboy,Randy Houser,2015-02-14,62
Shut Up And Dance,WALK THE MOON,2015-02-14,63
Often,The Weeknd,2015-02-14,64
Apparently,J. Cole,2015-02-14,65
Mean To Me,Brett Eldredge,2015-02-14,66
Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj &amp; Young Thug,2015-02-14,67
Only One,Kanye West Featuring Paul McCartney,2015-02-14,68
Ain't Worth The Whiskey,Cole Swindell,2015-02-14,69
Lonely Eyes,Chris Young,2015-02-14,70
All About It,Hoodie Allen Featuring Ed Sheeran,2015-02-14,71
Trap Queen,Fetty Wap,2015-02-14,72
Homegrown,Zac Brown Band,2015-02-14,73
Shotgun Rider,Tim McGraw,2015-02-14,74
Shots,Imagine Dragons,2015-02-14,75
Somebody,Natalie La Rose Featuring Jeremih,2015-02-14,76
Homegrown Honey,Darius Rucker,2015-02-14,77
God Made Girls,RaeLynn,2015-02-14,78
Geronimo,Sheppard,2015-02-14,79
Post To Be,Omarion Featuring Chris Brown &amp; Jhene Aiko,2015-02-14,80
Budapest,George Ezra,2015-02-14,81
Take It On Back,Chase Bryant,2015-02-14,82
Beg For It,Iggy Azalea Featuring M0,2015-02-14,83
L.A.LOVE (la la),Fergie,2015-02-14,84
Say You Do,Dierks Bentley,2015-02-14,85
Til It's Gone,Kenny Chesney,2015-02-14,86
Dangerous,David Guetta Featuring Sam Martin,2015-02-14,87
Can't Stop Dancin',Becky G,2015-02-14,88
What We Ain't Got,Jake Owen,2015-02-14,89
The Body,Wale Featuring Jeremih,2015-02-14,90
A Guy Walks Into A Bar,Tyler Farr,2015-02-14,91
Chains,Nick Jonas,2015-02-14,92
Perfect Storm,Brad Paisley,2015-02-14,93
Body Language,Kid Ink Featuring Usher &amp; Tinashe,2015-02-14,94
Talking Body,Tove Lo,2015-02-14,95
I Bet,Ciara,2015-02-14,96
Not For Long,B.o.B Featuring Trey Songz,2015-02-14,97
I Mean It,G-Eazy Featuring Remo,2015-02-14,98
Steal My Girl,One Direction,2015-02-14,99
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2015-02-14,100
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015-02-07,1
Thinking Out Loud,Ed Sheeran,2015-02-07,2
Take Me To Church,Hozier,2015-02-07,3
Blank Space,Taylor Swift,2015-02-07,4
Shake It Off,Taylor Swift,2015-02-07,5
Sugar,Maroon 5,2015-02-07,6
Lips Are Movin,Meghan Trainor,2015-02-07,7
I'm Not The Only One,Sam Smith,2015-02-07,8
Jealous,Nick Jonas,2015-02-07,9
Centuries,Fall Out Boy,2015-02-07,10
All About That Bass,Meghan Trainor,2015-02-07,11
Love Me Harder,Ariana Grande &amp; The Weeknd,2015-02-07,12
I Don't F**k With You,Big Sean Featuring E-40,2015-02-07,13
I Don't Mind,Usher Featuring Juicy J,2015-02-07,14
The Heart Wants What It Wants,Selena Gomez,2015-02-07,15
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015-02-07,16
Only,"Nicki Minaj Featuring Drake, Lil Wayne &amp; Chris Brown",2015-02-07,17
Animals,Maroon 5,2015-02-07,18
7/11,Beyonce,2015-02-07,19
Love Me Like You Do,Ellie Goulding,2015-02-07,20
Time Of Our Lives,Pitbull &amp; Ne-Yo,2015-02-07,21
No Type,Rae Sremmurd,2015-02-07,22
CoCo,O.T. Genasis,2015-02-07,23
Ghost,Ella Henderson,2015-02-07,24
Tuesday,I LOVE MAKONNEN Featuring Drake,2015-02-07,25
Stay With Me,Sam Smith,2015-02-07,26
Earned It (Fifty Shades Of Grey),The Weeknd,2015-02-07,27
Bang Bang,"Jessie J, Ariana Grande &amp; Nicki Minaj",2015-02-07,28
Waves,Mr. Probz,2015-02-07,29
Habits (Stay High),Tove Lo,2015-02-07,30
Riptide,Vance Joy,2015-02-07,31
Elastic Heart,Sia,2015-02-07,32
Chandelier,Sia,2015-02-07,33
G.D.F.R.,Flo Rida Featuring Sage The Gemini &amp; Lookas,2015-02-07,34
Heroes (We Could Be),Alesso Featuring Tove Lo,2015-02-07,35
Don't,Ed Sheeran,2015-02-07,36
Style,Taylor Swift,2015-02-07,37
She Knows,Ne-Yo Featuring Juicy J,2015-02-07,38
I Lived,OneRepublic,2015-02-07,39
Prayer In C,Lillywood &amp; Robin Schulz,2015-02-07,40
I See You,Luke Bryan,2015-02-07,41
Something In The Water,Carrie Underwood,2015-02-07,42
Talladega,Eric Church,2015-02-07,43
Sun Daze,Florida Georgia Line,2015-02-07,44
Rude,MAGIC!,2015-02-07,45
Night Changes,One Direction,2015-02-07,46
Don't Tell 'Em,Jeremih Featuring YG,2015-02-07,47
Black Widow,Iggy Azalea Featuring Rita Ora,2015-02-07,48
Sledgehammer,Fifth Harmony,2015-02-07,49
Blame,Calvin Harris Featuring John Newman,2015-02-07,50
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,2015-02-07,51
Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,2015-02-07,52
Take Your Time,Sam Hunt,2015-02-07,53
FourFiveSeconds,Rihanna &amp; Kanye West &amp; Paul McCartney,2015-02-07,54
Make Me Wanna,Thomas Rhett,2015-02-07,55
Outside,Calvin Harris Featuring Ellie Goulding,2015-02-07,56
Try Me,DeJ Loaf,2015-02-07,57
Feeling Myself,Nicki Minaj Featuring Beyonce,2015-02-07,58
Often,The Weeknd,2015-02-07,59
Drinking Class,Lee Brice,2015-02-07,60
Just Gettin' Started,Jason Aldean,2015-02-07,61
Shotgun Rider,Tim McGraw,2015-02-07,62
I Bet My Life,Imagine Dragons,2015-02-07,63
Shut Up And Dance,WALK THE MOON,2015-02-07,64
Ayo,Chris Brown &amp; Tyga,2015-02-07,65
Mean To Me,Brett Eldredge,2015-02-07,66
Heartbeat Song,Kelly Clarkson,2015-02-07,67
Like A Cowboy,Randy Houser,2015-02-07,68
Til It's Gone,Kenny Chesney,2015-02-07,69
Apparently,J. Cole,2015-02-07,70
Truffle Butter,Nicki Minaj Featuring Drake &amp; Lil Wayne,2015-02-07,71
Beg For It,Iggy Azalea Featuring M0,2015-02-07,72
Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj &amp; Young Thug,2015-02-07,73
Lonely Eyes,Chris Young,2015-02-07,74
God Made Girls,RaeLynn,2015-02-07,75
All About It,Hoodie Allen Featuring Ed Sheeran,2015-02-07,76
Ain't Worth The Whiskey,Cole Swindell,2015-02-07,77
Perfect Storm,Brad Paisley,2015-02-07,78
L.A.LOVE (la la),Fergie,2015-02-07,79
Homegrown Honey,Darius Rucker,2015-02-07,80
Homegrown,Zac Brown Band,2015-02-07,81
Worth It,Fifth Harmony Featuring Kid Ink,2015-02-07,82
Take It On Back,Chase Bryant,2015-02-07,83
Steal My Girl,One Direction,2015-02-07,84
Uma Thurman,Fall Out Boy,2015-02-07,85
Trap Queen,Fetty Wap,2015-02-07,86
Body Language,Kid Ink Featuring Usher &amp; Tinashe,2015-02-07,87
Geronimo,Sheppard,2015-02-07,88
Post To Be,Omarion Featuring Chris Brown &amp; Jhene Aiko,2015-02-07,89
Say You Do,Dierks Bentley,2015-02-07,90
Not For Long,B.o.B Featuring Trey Songz,2015-02-07,91
What We Ain't Got,Jake Owen,2015-02-07,92
The Body,Wale Featuring Jeremih,2015-02-07,93
Somebody,Natalie La Rose Featuring Jeremih,2015-02-07,94
Can't Stop Dancin',Becky G,2015-02-07,95
Immortals,Fall Out Boy,2015-02-07,96
Dangerous,David Guetta Featuring Sam Martin,2015-02-07,97
A Guy Walks Into A Bar,Tyler Farr,2015-02-07,98
Slow Motion,Trey Songz,2015-02-07,99
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2015-02-07,100
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015-01-31,1
Thinking Out Loud,Ed Sheeran,2015-01-31,2
Blank Space,Taylor Swift,2015-01-31,3
Take Me To Church,Hozier,2015-01-31,4
Shake It Off,Taylor Swift,2015-01-31,5
Lips Are Movin,Meghan Trainor,2015-01-31,6
I'm Not The Only One,Sam Smith,2015-01-31,7
Sugar,Maroon 5,2015-01-31,8
Jealous,Nick Jonas,2015-01-31,9
All About That Bass,Meghan Trainor,2015-01-31,10
Love Me Harder,Ariana Grande &amp; The Weeknd,2015-01-31,11
Centuries,Fall Out Boy,2015-01-31,12
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015-01-31,13
I Don't F**k With You,Big Sean Featuring E-40,2015-01-31,14
The Heart Wants What It Wants,Selena Gomez,2015-01-31,15
Animals,Maroon 5,2015-01-31,16
I Don't Mind,Usher Featuring Juicy J,2015-01-31,17
7/11,Beyonce,2015-01-31,18
Only,"Nicki Minaj Featuring Drake, Lil Wayne &amp; Chris Brown",2015-01-31,19
No Type,Rae Sremmurd,2015-01-31,20
Tuesday,I LOVE MAKONNEN Featuring Drake,2015-01-31,21
Ghost,Ella Henderson,2015-01-31,22
Bang Bang,"Jessie J, Ariana Grande &amp; Nicki Minaj",2015-01-31,23
Time Of Our Lives,Pitbull &amp; Ne-Yo,2015-01-31,24
Waves,Mr. Probz,2015-01-31,25
CoCo,O.T. Genasis,2015-01-31,26
Stay With Me,Sam Smith,2015-01-31,27
Habits (Stay High),Tove Lo,2015-01-31,28
Elastic Heart,Sia,2015-01-31,29
Riptide,Vance Joy,2015-01-31,30
Don't,Ed Sheeran,2015-01-31,31
I Lived,OneRepublic,2015-01-31,32
Chandelier,Sia,2015-01-31,33
Hot Boy,Bobby Shmurda,2015-01-31,34
Heroes (We Could Be),Alesso Featuring Tove Lo,2015-01-31,35
Love Me Like You Do,Ellie Goulding,2015-01-31,36
Heartbeat Song,Kelly Clarkson,2015-01-31,37
G.D.F.R.,Flo Rida Featuring Sage The Gemini &amp; Lookas,2015-01-31,38
Don't Tell 'Em,Jeremih Featuring YG,2015-01-31,39
Blame,Calvin Harris Featuring John Newman,2015-01-31,40
Something In The Water,Carrie Underwood,2015-01-31,41
Night Changes,One Direction,2015-01-31,42
Rude,MAGIC!,2015-01-31,43
Black Widow,Iggy Azalea Featuring Rita Ora,2015-01-31,44
I See You,Luke Bryan,2015-01-31,45
Talladega,Eric Church,2015-01-31,46
Prayer In C,Lillywood &amp; Robin Schulz,2015-01-31,47
Homegrown,Zac Brown Band,2015-01-31,48
Sun Daze,Florida Georgia Line,2015-01-31,49
She Knows,Ne-Yo Featuring Juicy J,2015-01-31,50
Sledgehammer,Fifth Harmony,2015-01-31,51
Style,Taylor Swift,2015-01-31,52
Try Me,DeJ Loaf,2015-01-31,53
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,2015-01-31,54
Shotgun Rider,Tim McGraw,2015-01-31,55
Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,2015-01-31,56
Beg For It,Iggy Azalea Featuring M0,2015-01-31,57
Outside,Calvin Harris Featuring Ellie Goulding,2015-01-31,58
Make Me Wanna,Thomas Rhett,2015-01-31,59
Til It's Gone,Kenny Chesney,2015-01-31,60
Feeling Myself,Nicki Minaj Featuring Beyonce,2015-01-31,61
"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,2015-01-31,62
Drinking Class,Lee Brice,2015-01-31,63
Just Gettin' Started,Jason Aldean,2015-01-31,64
Perfect Storm,Brad Paisley,2015-01-31,65
L.A.LOVE (la la),Fergie,2015-01-31,66
Often,The Weeknd,2015-01-31,67
Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future &amp; Jeremih",2015-01-31,68
I Bet My Life,Imagine Dragons,2015-01-31,69
Earned It (Fifty Shades Of Grey),The Weeknd,2015-01-31,70
Take Your Time,Sam Hunt,2015-01-31,71
Ayo,Chris Brown &amp; Tyga,2015-01-31,72
Uma Thurman,Fall Out Boy,2015-01-31,73
Shut Up And Dance,WALK THE MOON,2015-01-31,74
Mean To Me,Brett Eldredge,2015-01-31,75
God Made Girls,RaeLynn,2015-01-31,76
Like A Cowboy,Randy Houser,2015-01-31,77
All About It,Hoodie Allen Featuring Ed Sheeran,2015-01-31,78
Lonely Eyes,Chris Young,2015-01-31,79
Homegrown Honey,Darius Rucker,2015-01-31,80
Apparently,J. Cole,2015-01-31,81
Steal My Girl,One Direction,2015-01-31,82
Ain't Worth The Whiskey,Cole Swindell,2015-01-31,83
Dear Future Husband,Meghan Trainor,2015-01-31,84
Only One,Kanye West Featuring Paul McCartney,2015-01-31,85
Take It On Back,Chase Bryant,2015-01-31,86
Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj &amp; Young Thug,2015-01-31,87
Geronimo,Sheppard,2015-01-31,88
Body Language,Kid Ink Featuring Usher &amp; Tinashe,2015-01-31,89
Dangerous,David Guetta Featuring Sam Martin,2015-01-31,90
Post To Be,Omarion Featuring Chris Brown &amp; Jhene Aiko,2015-01-31,91
Glory,Common &amp; John Legend,2015-01-31,92
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,2015-01-31,93
What We Ain't Got,Jake Owen,2015-01-31,94
Not For Long,B.o.B Featuring Trey Songz,2015-01-31,95
Say You Do,Dierks Bentley,2015-01-31,96
No Love,August Alsina,2015-01-31,97
The Body,Wale Featuring Jeremih,2015-01-31,98
A Guy Walks Into A Bar,Tyler Farr,2015-01-31,99
I Mean It,G-Eazy Featuring Remo,2015-01-31,100
Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015-01-24,1
Blank Space,Taylor Swift,2015-01-24,2
Take Me To Church,Hozier,2015-01-24,3
Thinking Out Loud,Ed Sheeran,2015-01-24,4
I'm Not The Only One,Sam Smith,2015-01-24,5
Lips Are Movin,Meghan Trainor,2015-01-24,6
Jealous,Nick Jonas,2015-01-24,7
Love Me Harder,Ariana Grande &amp; The Weeknd,2015-01-24,8
Shake It Off,Taylor Swift,2015-01-24,9
All About That Bass,Meghan Trainor,2015-01-24,10
Animals,Maroon 5,2015-01-24,11
I Don't F**k With You,Big Sean Featuring E-40,2015-01-24,12
The Heart Wants What It Wants,Selena Gomez,2015-01-24,13
The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015-01-24,14
Centuries,Fall Out Boy,2015-01-24,15
Only,"Nicki Minaj Featuring Drake, Lil Wayne &amp; Chris Brown",2015-01-24,16
Elastic Heart,Sia,2015-01-24,17
No Type,Rae Sremmurd,2015-01-24,18
Tuesday,I LOVE MAKONNEN Featuring Drake,2015-01-24,19
7/11,Beyonce,2015-01-24,20
Stay With Me,Sam Smith,2015-01-24,21
Waves,Mr. Probz,2015-01-24,22
I Don't Mind,Usher Featuring Juicy J,2015-01-24,23
Habits (Stay High),Tove Lo,2015-01-24,24
Bang Bang,"Jessie J, Ariana Grande &amp; Nicki Minaj",2015-01-24,25
CoCo,O.T. Genasis,2015-01-24,26
Don't,Ed Sheeran,2015-01-24,27
Ghost,Ella Henderson,2015-01-24,28
Hot Boy,Bobby Shmurda,2015-01-24,29
Chandelier,Sia,2015-01-24,30
Heroes (We Could Be),Alesso Featuring Tove Lo,2015-01-24,31
Blame,Calvin Harris Featuring John Newman,2015-01-24,32
Riptide,Vance Joy,2015-01-24,33
I Lived,OneRepublic,2015-01-24,34
Time Of Our Lives,Pitbull &amp; Ne-Yo,2015-01-24,35
Don't Tell 'Em,Jeremih Featuring YG,2015-01-24,36
Black Widow,Iggy Azalea Featuring Rita Ora,2015-01-24,37
Rude,MAGIC!,2015-01-24,38
Night Changes,One Direction,2015-01-24,39
Ayo,Chris Brown &amp; Tyga,2015-01-24,40
Something In The Water,Carrie Underwood,2015-01-24,41
Beg For It,Iggy Azalea Featuring M0,2015-01-24,42
Stolen Dance,Milky Chance,2015-01-24,43
Sledgehammer,Fifth Harmony,2015-01-24,44
